subject,lap,start_time,straight,roundabout_entry,roundabout_exit,zebra_crossing,left_turn,u_turn,bypass_dummy,car,pedestrian,traffic_light,narrow_road,dummy,bend,habituation,traffic,hurry,frustration,surprise,risk_outcome,risk_source_env,risk_source_other_usr,risk_source_driver,risk_source_crash,risk_evaluation,violation_no,violation_roadside_invasion,violation_give_the_way,violation_road_signs,violation_heavy_braking,violation_roadside_exit,violation_slowdown,emotion_na,emotion_neutral,emotion_surprise,emotion_anger,emotion_boredom,emotion_fear,emotion_fun,gaze_na,gaze_complete_expl,gaze_partial_expl,gaze_poor_expl,distraction_na,distraction_no,distraction_reduced_attention,distraction_speaking,max_speed,avg_speed,std_speed,yaw,yaw_rate,roll,roll_rate,pitch,pitch_rate,lat_acce,long_acce,vert_acce,avg_acce_pedal_pos,std_acce_pedal_pos,avg_steer_angle,std_steer_angle,hr,hrv_lf,hrv_hf,hrv_lfhf_ratio,gsr_tonic,gsr_phasic,gsr_peaks,EBRmean,BDmean,ThetaFrontal,ThetaParietal,AlphaFrontal,AlphaParietal,LowerAlphaFrontal,LowerAlphaParietal,UpperAlphaFrontal,UpperAlphaParietal,BetaFrontal,BetaParietal,LowerBetaFrontal,LowerBetaParietal,UpperBetaFrontal,UpperBetaParietal
0AC2A4,1,13,1,0,0,1,0,0,0,0,0,0,0,0,0,2,2,2,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,17.34,10.68915,5.53669,-0.00213,-0.00484,-0.01164,2.12067,-0.01071,1.2434,-0.47284,0.14899,0.00556,28.43287,21.51552,-0.85358,7.98461,64.55194,0.0345,0.0165,2.118,0.29596,0.00028,0.0,12.0,0.31999,0.19363,0.11982,0.12577,0.07799,0.1242,0.07737,0.12307,0.07681,0.05046,0.03492,0.0743,0.05289,0.03606,0.02393
0AC2A4,1,32,0,1,0,1,0,0,0,0,0,0,0,0,0,2,2,2,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,9.28,6.709,1.73499,-0.08089,0.08261,0.00393,1.85429,-0.00268,0.00589,1.05286,-0.52804,0.02357,0.0,0.0,-29.35143,284.61478,66.93432,0.043,0.0395,1.828,0.295,0.0009,2e-05,10.66667,0.35508,0.14434,0.09494,0.16786,0.10325,0.20402,0.10296,0.14606,0.10325,0.03636,0.02433,0.05822,0.04136,0.02535,0.01391
0AC2A4,1,36,0,0,1,1,0,0,0,0,0,0,0,0,0,2,2,2,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,4.86,4.34621,0.22342,-0.39941,0.0037,-0.03588,2.40318,-0.00071,0.00447,1.31047,-0.66965,-0.00694,8.18482,13.43515,-676.956,584.6401,69.64516,0.051,0.021,2.49233,0.2947,0.00099,3e-05,8.5,0.34207,0.18136,0.11772,0.14581,0.10075,0.20329,0.12355,0.09483,0.08173,0.04524,0.02847,0.06055,0.04321,0.03586,0.01923
0AC2A4,1,42,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,12.55,9.49041,2.25769,0.04355,-0.02185,-0.00078,1.0761,-0.00035,1.33972,0.14901,-0.63723,0.01255,30.27787,33.14691,51.53766,201.51902,73.94709,0.0466,0.0252,1.9352,0.29447,0.00142,4e-05,6.66667,0.2964,0.18363,0.11387,0.15481,0.11184,0.20325,0.12153,0.11255,0.1092,0.04928,0.02923,0.07192,0.04653,0.03536,0.01832
0AC2A4,1,52,1,0,0,0,0,1,0,0,0,0,0,0,0,2,2,2,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,17.29,9.6735,5.86885,-0.1108,0.03078,-0.0002,1.85427,-0.02487,1.01473,-0.35684,0.90957,-0.01883,26.03066,33.55743,-318.91541,610.76347,72.19436,0.04808,0.024,2.06258,0.29269,0.00192,3e-05,8.46154,0.35612,0.17037,0.10574,0.16066,0.13048,0.19645,0.13454,0.1327,0.13759,0.04501,0.02943,0.06175,0.04715,0.03511,0.01838
0AC2A4,1,77,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,2,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,13.14,7.7935,2.0491,-0.11,-0.08841,-0.00643,2.80357,-0.00304,0.0075,-0.40911,-2.03857,-0.00982,10.06518,13.87321,-131.35196,142.80163,69.91405,0.051,0.0325,1.598,0.29308,0.00105,0.0,6.0,0.3877,0.15153,0.11687,0.18767,0.14931,0.2386,0.16689,0.14768,0.15457,0.04099,0.03232,0.05572,0.04666,0.03202,0.024
0AC2A4,1,81,0,1,0,1,0,0,0,0,0,0,0,0,0,2,2,2,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,12.02,10.00057,1.44249,-0.00152,0.11971,0.0103,2.2897,0.00111,0.95545,0.21525,0.2503,0.00242,18.58606,26.33441,7.56586,188.17989,72.96699,0.0365,0.03625,1.03975,0.29244,0.00162,0.0,4.0,0.40137,0.2389,0.14763,0.19619,0.15617,0.25793,0.16287,0.14453,0.16269,0.04386,0.02705,0.0644,0.04472,0.03355,0.01654
0AC2A4,1,88,0,0,1,1,0,0,0,0,0,0,0,0,0,2,2,2,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,7.38,6.78929,0.29319,0.49262,-0.00347,-0.00214,0.03429,-0.00071,0.00667,3.23929,-0.74143,-0.01095,5.47476,7.60584,546.57238,20.03282,71.86037,0.021,0.044,0.484,0.28837,0.0043,9e-05,4.0,0.40137,0.16471,0.10573,0.24525,0.15701,0.297,0.18826,0.19237,0.13202,0.04415,0.02677,0.06948,0.04433,0.02812,0.016
0AC2A4,1,91,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,2,2,2,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,9.59,6.72415,1.65572,0.12781,-0.06506,-0.0041,1.24705,0.00022,0.36142,0.05219,-0.71011,-0.00038,15.73792,20.05449,134.51251,275.02467,72.75748,0.039,0.03886,1.03543,0.28762,0.00406,9e-05,6.57143,0.36691,0.16536,0.108,0.15268,0.12612,0.19317,0.14076,0.11925,0.1168,0.03691,0.02699,0.05381,0.0439,0.0262,0.01642
0AC2A4,1,104,1,0,0,1,0,0,0,0,0,1,0,0,0,2,2,2,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,16.9,12.85842,2.84632,-0.10947,0.07992,0.00754,1.92807,-0.05439,2.80947,2.49561,-0.23579,0.03544,66.58772,28.54922,-82.65982,98.91221,72.59042,0.0415,0.045,1.0035,0.28974,0.00348,0.0,4.66667,0.36979,0.16924,0.11467,0.26354,0.15747,0.37632,0.18999,0.15755,0.12838,0.03729,0.02382,0.04527,0.03489,0.03186,0.01696
